,V061112,V061113,V06112,V8005,V6003
379,-,-,3.0,54,-
380,-,-,3.0,51,-
381,1.0,1.0,1.0,13,1.0
382,-,-,3.0,62,-
383,-,-,1.0,64,-
384,1.0,1.0,1.0,38,-
385,1.0,1.0,1.0,34,-
386,1.0,1.0,1.0,32,-
387,1.0,1.0,1.0,31,-
388,2.0,1.0,1.0,41,-
389,2.0,1.0,1.0,41,-
390,1.0,1.0,1.0,21,5.0
391,1.0,1.0,1.0,17,-
392,1.0,1.0,1.0,16,2.0
393,1.0,1.0,1.0,27,-
394,1.0,1.0,1.0,27,-
395,-,-,-,5,9.0
396,-,-,-,3,7.0
397,-,-,-,0,-
398,-,-,3.0,37,-
399,1.0,1.0,1.0,17,2.0
400,-,-,1.0,69,-
401,-,-,1.0,58,-
402,-,-,1.0,33,-
403,-,-,3.0,35,-
404,-,-,-,8,1.0
405,1.0,2.0,1.0,36,-
406,2.0,1.0,1.0,41,-
407,1.0,1.0,1.0,23,-
408,1.0,1.0,1.0,17,-
409,2.0,1.0,1.0,50,-
410,-,-,1.0,57,-
411,1.0,1.0,1.0,21,-
412,1.0,1.0,1.0,40,-
413,1.0,1.0,1.0,37,-
414,1.0,1.0,1.0,19,5.0
415,1.0,1.0,1.0,16,2.0
416,-,-,1.0,57,-
417,-,-,3.0,50,-
418,1.0,1.0,1.0,29,-
419,1.0,1.0,1.0,26,-
420,2.0,1.0,1.0,27,-
421,2.0,1.0,1.0,28,-
422,2.0,1.0,1.0,29,-
423,2.0,1.0,1.0,31,-
424,-,-,-,8,1.0
425,-,-,-,0,-
426,1.0,1.0,1.0,47,-
427,1.0,1.0,1.0,47,-
428,1.0,1.0,1.0,14,1.0
429,1.0,1.0,3.0,26,-
430,1.0,1.0,1.0,36,-
431,-,-,-,1,-
432,2.0,1.0,1.0,45,-
433,-,-,1.0,51,-
434,1.0,1.0,1.0,39,-
435,1.0,1.0,1.0,16,2.0
436,1.0,1.0,1.0,10,1.0
437,1.0,1.0,1.0,43,-
438,1.0,1.0,1.0,39,4.0
439,1.0,1.0,1.0,20,-
440,1.0,1.0,1.0,10,1.0
441,1.0,1.0,1.0,20,-
442,1.0,1.0,1.0,21,-
443,-,-,1.0,39,-
444,-,-,1.0,68,-
445,2.0,1.0,1.0,46,-
446,1.0,1.0,1.0,36,-
447,-,-,3.0,10,1.0
448,-,-,-,4,-
449,1.0,1.0,1.0,37,5.0
450,1.0,1.0,1.0,36,-
451,-,-,-,3,-
452,1.0,1.0,1.0,71,-
453,-,-,1.0,71,-
454,1.0,2.0,1.0,36,-
455,1.0,1.0,1.0,38,-
456,1.0,1.0,1.0,40,-
457,1.0,1.0,1.0,54,-
458,1.0,1.0,1.0,48,-
459,1.0,1.0,1.0,12,1.0
460,1.0,1.0,1.0,33,-
461,1.0,1.0,1.0,32,-
462,-,-,-,4,9.0
463,1.0,1.0,1.0,43,-
464,1.0,1.0,1.0,46,-
465,-,-,-,8,1.0
466,-,-,3.0,69,-
467,-,-,1.0,68,-
468,-,-,3.0,66,-
469,-,-,3.0,77,-
470,-,-,3.0,75,-
471,1.0,1.0,1.0,34,-
472,-,-,3.0,75,-
473,1.0,1.0,1.0,44,-
474,-,-,1.0,64,-
475,1.0,1.0,1.0,43,-
476,1.0,1.0,1.0,34,-
477,2.0,1.0,1.0,24,-
478,2.0,1.0,1.0,43,-
479,-,-,-,3,7.0
480,-,-,1.0,58,-
481,1.0,1.0,1.0,30,-
482,-,-,1.0,68,-
483,1.0,1.0,1.0,49,-
484,1.0,1.0,1.0,52,-
485,1.0,1.0,1.0,46,-
486,1.0,1.0,1.0,20,-
487,1.0,2.0,1.0,48,-
488,-,-,3.0,91,-
489,1.0,2.0,1.0,58,-
490,-,-,1.0,51,-
491,1.0,2.0,1.0,48,-
492,1.0,1.0,1.0,43,-
493,1.0,1.0,1.0,23,-
494,1.0,1.0,1.0,21,5.0
495,1.0,1.0,1.0,46,-
496,1.0,1.0,1.0,27,-
497,1.0,1.0,1.0,42,-
498,1.0,1.0,1.0,44,-
499,1.0,1.0,1.0,19,5.0
500,-,-,-,9,1.0
501,1.0,1.0,1.0,53,-
502,1.0,1.0,1.0,52,-
503,1.0,1.0,1.0,30,-
504,-,-,-,2,7.0
505,2.0,1.0,1.0,50,-
506,1.0,1.0,1.0,44,-
507,-,-,1.0,45,-
508,1.0,1.0,1.0,37,-
509,2.0,1.0,1.0,20,-
510,2.0,1.0,1.0,16,2.0
511,1.0,1.0,1.0,38,-
512,1.0,1.0,1.0,34,-
513,-,-,-,1,-
514,1.0,2.0,3.0,80,-
515,1.0,1.0,1.0,50,-
516,-,-,3.0,69,-
517,-,-,3.0,47,-
518,1.0,1.0,1.0,45,-
519,1.0,1.0,1.0,49,-
520,1.0,1.0,1.0,40,-
